Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
15-cis-phytoene synthase activity,,TraesCS4B03G0844400,"TraesCS5A03G0051400, TraesCS5A03G0856200, TraesCS5B03G0040800, TraesCS5B03G0902000, TraesCS5D03G0063200, TraesCS5D03G0821800, TraesCS7A03G1357000, TraesCS7B03G1296800",0,1,8,8
"2 iron, 2 sulfur cluster binding",,"TraesCS4A01G003200, TraesCS4B03G0844400, TraesCS4B03G0844401, TraesCS6B02G0011000","TraesCS1A03G0494500, TraesCS1A03G0697900, TraesCS1A03G0925600, TraesCS1B03G0598300, TraesCS1B03G0794600, TraesCS1B03G0934600, TraesCS1B03G1102100, TraesCS1B03G1123000, TraesCS1B03G1177300, TraesCS1D03G0492600, TraesCS1D03G0663100, TraesCS1D03G0780300, TraesCS1D03G0908900, TraesCS1D03G0960100, TraesCS2A03G0437800, TraesCS2A03G0593100, TraesCS2A03G0721300, TraesCS2A03G1278800, TraesCS2B03G0563500, TraesCS2B03G0704100, TraesCS2B03G0797800, TraesCS2B03G0811700, TraesCS2B03G1463600, TraesCS2D03G0451200, TraesCS2D03G0570500, TraesCS2D03G0665500, TraesCS2D03G0677900, TraesCS2D03G1236600, TraesCS3A03G0283600, TraesCS3A03G0618800, TraesCS3A03G0883400, TraesCS3A03G0893100, TraesCS3A03G1191900, TraesCS3B03G0352000, TraesCS3B03G0698000, TraesCS3B03G1010500, TraesCS3B03G1019200, TraesCS3B03G1434900, TraesCS3D03G0717100, TraesCS3D03G0811200, TraesCS3D03G0820700, TraesCS3D03G1136100, TraesCS4A03G0603600, TraesCS4A03G0733900, TraesCS4A03G0752300, TraesCS4A03G0878200, TraesCS4A03G0879800, TraesCS4A03G1017200, TraesCS4B03G0032700, TraesCS4B03G0061400, TraesCS4B03G0202400, TraesCS4B03G0809700, TraesCS4D03G0022900, TraesCS4D03G0035500, TraesCS4D03G0099300, TraesCS4D03G0169200, TraesCS4D03G0725700, TraesCS5A03G0423200, TraesCS5A03G0508700, TraesCS5A03G0552100, TraesCS5A03G0651000, TraesCS5A03G0733100, TraesCS5A03G1011500, TraesCS5A03G1011900, TraesCS5A03G1012000, TraesCS5A03G1012100, TraesCS5A03G1012300, TraesCS5A03G1012900, TraesCS5A03G1076000, TraesCS5A03G1076400, TraesCS5B03G0419200, TraesCS5B03G0481000, TraesCS5B03G0514800, TraesCS5B03G0560600, TraesCS5B03G0765100, TraesCS5B03G0769100, TraesCS5B03G1057900, TraesCS5B03G1058500, TraesCS5B03G1058700, TraesCS5B03G1058900, TraesCS5B03G1059200, TraesCS5B03G1139900, TraesCS5B03G1253700, TraesCS5B03G1258100, TraesCS5B03G1324500, TraesCS5D03G0475600, TraesCS5D03G0519400, TraesCS5D03G0619200, TraesCS5D03G0694600, TraesCS5D03G0957200, TraesCS5D03G0957300, TraesCS5D03G0957600, TraesCS5D03G0957800, TraesCS5D03G1030600, TraesCS5D03G1030900, TraesCS5D03G1126200, TraesCS5D03G1183300, TraesCS6A03G0546100, TraesCS6A03G0909400, TraesCS6B03G0646900, TraesCS6B03G1091600, TraesCS6B03G1142500, TraesCS6D03G0165100, TraesCS6D03G0463900, TraesCS6D03G0780300, TraesCS7A03G0257600, TraesCS7A03G0322300, TraesCS7A03G0377400, TraesCS7A03G0655200, TraesCS7A03G0772900, TraesCS7A03G0804400, TraesCS7A03G0804600, TraesCS7A03G1032000, TraesCS7A03G1236900, TraesCS7B03G0015200, TraesCS7B03G0101000, TraesCS7B03G0101600, TraesCS7B03G0176000, TraesCS7B03G0413000, TraesCS7B03G0606600, TraesCS7B03G0641200, TraesCS7B03G0641600, TraesCS7B03G0869300, TraesCS7B03G1123600, TraesCS7B03G1126900, TraesCS7B03G1127300, TraesCS7D03G0237300, TraesCS7D03G0307400, TraesCS7D03G0361900, TraesCS7D03G0629800, TraesCS7D03G0742700, TraesCS7D03G0765200, TraesCS7D03G0765300, TraesCS7D03G0984400, TraesCS7D03G1177500, TraesCS7D03G1178200",0,4,136,136
"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity",,TraesCS4B03G0844400,"TraesCS3A03G1192100, TraesCS3A03G1193500, TraesCS3B03G1435900, TraesCS3B03G1436100, TraesCS3D03G1135900, TraesCS3D03G1136500, TraesCS3D03G1136800, TraesCS6B03G0189800, TraesCS7A03G1194600, TraesCS7A03G1194800, TraesCS7B03G0043700, TraesCS7B03G1087700, TraesCS7B03G1087800, TraesCS7D03G0261300, TraesCS7D03G0261400, TraesCS7D03G1138100, TraesCSU03G0093000",0,1,17,17
2-(3-amino-3-carboxypropyl)histidine synthase activity,,"TraesCS4B03G0844400, TraesCS6A03G0131200","TraesCS4B03G0189100, TraesCS6A03G0973500, TraesCS6B03G1191100, TraesCS6D03G0854600",0,2,4,4
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,,TraesCS4B03G0844400,"TraesCS3A03G0946000, TraesCS3B03G1079400, TraesCS3D03G0879300",0,1,3,3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,,TraesCS4B03G0844400,"TraesCS2A03G0346200, TraesCS2B03G0465400, TraesCS2D03G0363400",0,1,3,3
2-isopropylmalate synthase activity,,TraesCS4B03G0844400,"TraesCS5A03G0368300, TraesCS5B03G0369100, TraesCS5D03G0350700",0,1,3,3
"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity",,TraesCS4B03G0844400,"TraesCS4A03G0760000, TraesCS4B03G0025600, TraesCS4D03G0017700, TraesCS5A03G0089100, TraesCS5B03G0090800, TraesCS5D03G0109200, TraesCS6A03G0649400, TraesCS6B03G0776000, TraesCS6D03G0538800",0,1,9,9
"3 iron, 4 sulfur cluster binding",,"TraesCS4A12B34F12345, TraesCS4B03G0844400","TraesCS2A03G0267400, TraesCS2D03G0279000, TraesCS3B03G0772100, TraesCS3D03G0616600, TraesCS5A03G0508700, TraesCS5B03G0514800, TraesCS5D03G0475600, TraesCS7A03G0772900, TraesCS7B03G0606600, TraesCS7D03G0742700",0,2,10,10
3''-deamino-3''-oxonicotianamine reductase activity,,TraesCS4B03G0844400,"TraesCS2A03G0782200, TraesCS2A03G0782600, TraesCS2B03G0868300, TraesCS2B03G0868400, TraesCS2B03G1375700, TraesCS4D03G0559800",0,1,6,6
"3'(2'),5'-bisphosphate nucleotidase activity",,TraesCS4B03G0844400,"TraesCS4A03G0994400, TraesCS5A03G0331600, TraesCS5B03G0332800, TraesCS5D03G0320100, TraesCS6A03G0948600, TraesCS6B03G1160200, TraesCS6D03G0826900, TraesCS7A03G0240900",0,1,8,8
3'-5' DNA helicase activity,,"TraesCS4B03G0844400, TraesCS6A03G0130900","TraesCS1A03G0221900, TraesCS1A03G0672700, TraesCS2A03G0213300, TraesCS2A03G0759500, TraesCS2B03G0294200, TraesCS2B03G0837200, TraesCS2D03G0218200, TraesCS2D03G0700700, TraesCS4A03G0577600, TraesCS4B03G0220900, TraesCS4B03G0323900, TraesCS4D03G0181700, TraesCS4D03G0265200, TraesCS4D03G0294700",0,2,14,14
3'-5' exonuclease activity,,"TraesCS4B03G0844400, TraesCS6A02G0034000","TraesCS1A03G0006700, TraesCS1A03G0044200, TraesCS1A03G0205900, TraesCS1A03G0360600, TraesCS1A03G0540200, TraesCS1A03G0590000, TraesCS1A03G0616500, TraesCS1A03G0783000, TraesCS1B03G0154900, TraesCS1B03G0231800, TraesCS1B03G0356600, TraesCS1B03G0450000, TraesCS1B03G0643400, TraesCS1B03G0643500, TraesCS1B03G0661600, TraesCS1B03G0685800, TraesCS1B03G0898900, TraesCS1B03G0905700, TraesCS1B03G1135000, TraesCS1B03G1144700, TraesCS1D03G0236000, TraesCS1D03G0347900, TraesCS1D03G0561200, TraesCS1D03G0667800, TraesCS1D03G0750100, TraesCS2A03G0024300, TraesCS2A03G0142200, TraesCS2A03G0272400, TraesCS2A03G0481400, TraesCS2A03G0602500, TraesCS2A03G1029000, TraesCS2A03G1100200, TraesCS2A03G1220500, TraesCS2A03G1351400, TraesCS2B03G0030800, TraesCS2B03G0151000, TraesCS2B03G0375700, TraesCS2B03G0481600, TraesCS2B03G0483400, TraesCS2B03G0600400, TraesCS2B03G0609900, TraesCS2B03G0634600, TraesCS2B03G1054600, TraesCS2B03G1235200, TraesCS2B03G1235300, TraesCS2B03G1271900, TraesCS2B03G1395800, TraesCS2B03G1553500, TraesCS2D03G0022000, TraesCS2D03G0198500, TraesCS2D03G0228800, TraesCS2D03G0332000, TraesCS2D03G0485000, TraesCS2D03G0534800, TraesCS2D03G0547300, TraesCS2D03G0587300, TraesCS2D03G0603800, TraesCS2D03G0827200, TraesCS2D03G0922700, TraesCS2D03G0950700, TraesCS2D03G1000200, TraesCS2D03G1043900, TraesCS2D03G1179300, TraesCS3A03G0138300, TraesCS3A03G0138500, TraesCS3A03G0252700, TraesCS3A03G0306500, TraesCS3A03G0537500, TraesCS3A03G0616400, TraesCS3A03G0616600, TraesCS3A03G0702600, TraesCS3A03G0778200, TraesCS3A03G0873300, TraesCS3A03G1238100, TraesCS3B03G0086100, TraesCS3B03G0176100, TraesCS3B03G0178800, TraesCS3B03G0321100, TraesCS3B03G0337800, TraesCS3B03G0376100, TraesCS3B03G0515300, TraesCS3B03G0551600, TraesCS3B03G0605900, TraesCS3B03G0610200, TraesCS3B03G0694500, TraesCS3B03G0696300, TraesCS3B03G0696700, TraesCS3B03G0717300, TraesCS3B03G0742200, TraesCS3B03G0776600, TraesCS3B03G0801700, TraesCS3B03G0830500, TraesCS3B03G0959600, TraesCS3B03G1017400, TraesCS3B03G1192200, TraesCS3B03G1502400, TraesCS3D03G0125300, TraesCS3D03G0125600, TraesCS3D03G0126500, TraesCS3D03G0145000, TraesCS3D03G0245300, TraesCS3D03G0397800, TraesCS3D03G0476500, TraesCS3D03G0476600, TraesCS3D03G0494400, TraesCS3D03G0564900, TraesCS3D03G0565300, TraesCS3D03G0565500, TraesCS3D03G0644700, TraesCS3D03G0660700, TraesCS3D03G1085000, TraesCS4A03G0047800, TraesCS4A03G0060200, TraesCS4A03G0241500, TraesCS4A03G0374800, TraesCS4A03G0530600, TraesCS4A03G0938500, TraesCS4A03G0951300, TraesCS4B03G0092200, TraesCS4B03G0313000, TraesCS4B03G0358200, TraesCS4B03G0405100, TraesCS4B03G0448600, TraesCS4B03G0526800, TraesCS4B03G0563400, TraesCS4B03G0566900, TraesCS4B03G0725600, TraesCS4B03G0829700, TraesCS4B03G0851600, TraesCS4B03G0875900, TraesCS4D03G0200900, TraesCS4D03G0356700, TraesCS4D03G0465900, TraesCS4D03G0614700, TraesCS4D03G0645900, TraesCS4D03G0739300, TraesCS4D03G0741900, TraesCS5A03G0014200, TraesCS5A03G0038900, TraesCS5A03G0250100, TraesCS5A03G0588300, TraesCS5A03G1155000, TraesCS5B03G0192100, TraesCS5B03G0211000, TraesCS5B03G0264700, TraesCS5B03G0337700, TraesCS5B03G0428000, TraesCS5B03G0528700, TraesCS5B03G1335200, TraesCS5D03G0632100, TraesCS5D03G1128500, TraesCS6A03G0084100, TraesCS6A03G0229400, TraesCS6A03G0229500, TraesCS6A03G0710300, TraesCS6A03G0722400, TraesCS6A03G0731000, TraesCS6A03G0819400, TraesCS6A03G0919800, TraesCS6A03G0934500, TraesCS6A03G0981300, TraesCS6A03G1009900, TraesCS6A03G1051200, TraesCS6B03G0254300, TraesCS6B03G0483600, TraesCS6B03G0524700, TraesCS6B03G0773900, TraesCS6B03G0866300, TraesCS6B03G0950100, TraesCS6B03G0970400, TraesCS6B03G1107200, TraesCS6B03G1204000, TraesCS6D03G0466400, TraesCS6D03G0614700, TraesCS6D03G0692700, TraesCS6D03G0706100, TraesCS6D03G0751300, TraesCS6D03G0791000, TraesCS7A03G0614600, TraesCS7A03G0644900, TraesCS7A03G0725400, TraesCS7A03G0745100, TraesCS7A03G0747400, TraesCS7A03G0762200, TraesCS7A03G0839000, TraesCS7A03G0975500, TraesCS7B03G0342500, TraesCS7B03G0383400, TraesCS7B03G0420600, TraesCS7B03G0421900, TraesCS7B03G0518000, TraesCS7B03G0574900, TraesCS7B03G0589200, TraesCS7B03G0593000, TraesCS7B03G1227300, TraesCS7D03G0029700, TraesCS7D03G0248200, TraesCS7D03G0585300, TraesCS7D03G0647400, TraesCS7D03G0648000, TraesCS7D03G0712000, TraesCS7D03G0732200, TraesCS7D03G0945400, TraesCS7D03G1130400",0,2,204,204
3'-5'-DNA exonuclease activity,,TraesCS4B03G0844400,"TraesCS2A03G1225300, TraesCS2B03G1401800, TraesCS2D03G1185400, TraesCS7A03G0899900, TraesCS7B03G0714500",0,1,5,5
3'-5'-RNA exonuclease activity,,"TraesCS4B03G0844400, TraesCS6A02G0541000","TraesCS1A03G0360600, TraesCS1B03G0450000, TraesCS1D03G0347900, TraesCS2A03G0481400, TraesCS2A03G0674200, TraesCS2B03G0600400, TraesCS2B03G0639700, TraesCS2B03G0754300, TraesCS2D03G0485000, TraesCS2D03G0560200, TraesCS2D03G0627800, TraesCS3A03G0372100, TraesCS3D03G0368900, TraesCS3D03G0371700, TraesCS3D03G0371900, TraesCS4A03G0060200, TraesCS4B03G0725600, TraesCS4D03G0645900, TraesCS6A03G0658600, TraesCS6A03G0827700, TraesCS6A03G1008600, TraesCS6B03G0819300, TraesCS6B03G0985200, TraesCS6B03G1240600, TraesCS6D03G0547800, TraesCS6D03G0701400, TraesCS6D03G0887600",0,2,27,27
3'-tRNA processing endoribonuclease activity,,TraesCS4B03G0844400,"TraesCS3A03G0363500, TraesCS3B03G0438100, TraesCS3D03G0352000",0,1,3,3
3-dehydroquinate dehydratase activity,,TraesCS4B03G0844400,"TraesCS3A03G0495000, TraesCS3B03G0575400, TraesCS3D03G0484000, TraesCS5A03G0243300, TraesCS5B03G0260300, TraesCS5D03G0256000",0,1,6,6
3-isopropylmalate dehydratase activity,,TraesCS4B03G0844400,"TraesCS2B03G0441600, TraesCS6A03G0182700, TraesCS6A03G0664500, TraesCS6B03G0262300, TraesCS6D03G0153900, TraesCS6D03G0553100",0,1,6,6
3-isopropylmalate dehydrogenase activity,,TraesCS4B03G0844400,"TraesCS2A03G1324400, TraesCS2B03G1526400, TraesCS2D03G1290800, TraesCS3B03G0012000, TraesCS3D03G0005700",0,1,5,5
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,,TraesCS4B03G0844400,"TraesCS2A03G0694900, TraesCS2B03G0774900, TraesCS2D03G0644900, TraesCS5A03G1091700, TraesCS5B03G1156200, TraesCS5D03G1049200",0,1,6,6
3-phosphoshikimate 1-carboxyvinyltransferase activity,,TraesCS4B03G0844400,"TraesCS7A03G0160900, TraesCS7D03G0149700",0,1,2,2
4-alpha-glucanotransferase activity,,"TraesCS4B03G0844400, TraesCS6B02G0031000","TraesCS2A03G0256000, TraesCS2A03G0327100, TraesCS2B03G0351500, TraesCS2B03G0447100, TraesCS2D03G0266300, TraesCS2D03G0349000",0,2,6,6
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin),,TraesCS4B03G0844400,"TraesCS6A03G0592400, TraesCS6B03G0720000, TraesCS6D03G0491100",0,1,3,3
5'-3' DNA exonuclease activity,,TraesCS4B03G0844400,"TraesCS3A03G0767400, TraesCS3B03G0881900, TraesCS3D03G0709800, TraesCS5D03G0513200, TraesCS7B03G0680700, TraesCS7D03G0809500",0,1,6,6
5'-3' DNA helicase activity,,"TraesCS4B03G0844400, TraesCS6A02G0581000","TraesCS7A03G1132600, TraesCS7B03G0990300, TraesCS7D03G1079400, TraesCS7D03G1079600",0,2,4,4
5'-3' RNA exonuclease activity,,"TraesCS4B03G0844400, TraesCS6A02G0582000","TraesCS2A03G0143100, TraesCS2B03G0200000, TraesCS2D03G0142800, TraesCS3A03G0904300, TraesCS3B03G1027300, TraesCS3D03G0830500, TraesCS4D03G0226200, TraesCS5A03G0793400, TraesCS5A03G0861800, TraesCS5A03G1024800, TraesCS5B03G1076000, TraesCS5D03G0749000, TraesCS5D03G0969000",0,2,13,13
5'-3' exonuclease activity,,TraesCS4B03G0844400,"TraesCS1A03G0881400, TraesCS1B03G1029400, TraesCS1D03G0855000, TraesCS3A03G0909800, TraesCS3B03G1030900, TraesCS3D03G0835500, TraesCS4A03G0157100, TraesCS4A03G0885800, TraesCS4B03G0637400, TraesCS4D03G0566300, TraesCS5B03G1245100, TraesCS5D03G1121700",0,1,12,12
5'-deoxyribose-5-phosphate lyase activity,,TraesCS4B03G0844400,"TraesCS7A03G0450600, TraesCS7B03G0259100, TraesCS7D03G0435200",0,1,3,3
5'-nucleotidase activity,,TraesCS4B03G0844400,"TraesCS3D03G0384600, TraesCS5A03G0893600, TraesCS5A03G0967900, TraesCS5B03G0940000, TraesCS5D03G0856100, TraesCS7A03G0366300, TraesCS7B03G0163100, TraesCS7D03G0351100",0,1,8,8
5-diphosphoinositol pentakisphosphate 1-kinase activity,,TraesCS4B03G0844400,"TraesCS3B03G0883300, TraesCS4B03G0067400, TraesCS4D03G0046400",0,1,3,3
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,,TraesCS4B03G0844400,"TraesCS4A03G0754900, TraesCS4B03G0030000, TraesCS4D03G0020600, TraesCS5A03G0060700, TraesCS5B03G0053200, TraesCS5D03G0077800",0,1,6,6
5S rRNA binding,,"TraesCS4B03G0844400, TraesCS6A01G0031000","TraesCS2A03G0737900, TraesCS2B03G0814800, TraesCS2D03G0680900, TraesCS4A03G0040100, TraesCS4A03G0700000, TraesCS4B03G0075300, TraesCS4B03G0744500, TraesCS4D03G0664500, TraesCS5A03G0895100, TraesCS5A03G0978500, TraesCS5A03G1011100, TraesCS5B03G0941500, TraesCS5D03G0956400, TraesCS6D03G0723800, TraesCS7A03G0193100, TraesCS7D03G0172700",0,2,16,16
6-phosphofructo-2-kinase activity,,TraesCS4B03G0844400,"TraesCS1A03G0267900, TraesCS1B03G0348500, TraesCS1D03G0266200, TraesCS4A03G0229600, TraesCS4B03G0541300, TraesCS4D03G0479000",0,1,6,6
6-phosphofructokinase activity,,TraesCS4B03G0844400,"TraesCS1A03G0847500, TraesCS1B03G0974500, TraesCS1D03G0815700, TraesCS2A03G0818200, TraesCS2B03G0904800, TraesCS2D03G0759700, TraesCS3A03G0235600, TraesCS3A03G0701100, TraesCS3B03G0296600, TraesCS3B03G0800300, TraesCS3D03G0226000, TraesCS3D03G0643500, TraesCS4A03G0964800, TraesCS5A03G0183900, TraesCS5A03G0236000, TraesCS5A03G0579500, TraesCS5B03G0195000, TraesCS5B03G0253800, TraesCS5B03G0593100, TraesCS5D03G0208000, TraesCS5D03G0247600, TraesCS5D03G0543600, TraesCS6A03G0743000, TraesCS6B03G0880900, TraesCS6D03G0625200, TraesCS7A03G0211000, TraesCS7A03G0253200, TraesCS7A03G0467600, TraesCS7A03G0524800, TraesCS7B03G0012700, TraesCS7B03G0272500, TraesCS7B03G0346600, TraesCS7D03G0190100, TraesCS7D03G0230800, TraesCS7D03G0448600, TraesCS7D03G0508800",0,1,36,36
7S RNA binding,,"TraesCS4B03G0844400, TraesCS5A03G0017800, TraesCS6A01G1291000","TraesCS1A03G0185100, TraesCS1A03G0203000, TraesCS1A03G0337700, TraesCS1A03G0533500, TraesCS1A03G0811000, TraesCS1A03G0811100, TraesCS1B03G0934900, TraesCS1B03G0935000, TraesCS1D03G0780600, TraesCS2A03G1100600, TraesCS2B03G1235600, TraesCS2D03G1044600, TraesCS3A03G0204100, TraesCS3A03G0290800, TraesCS3A03G0390400, TraesCS3A03G0761100, TraesCS3A03G0943300, TraesCS3A03G1100600, TraesCS3B03G0872500, TraesCS3B03G1075900, TraesCS3D03G0269900, TraesCS3D03G0702500, TraesCS3D03G0877100, TraesCS4A03G0527700, TraesCS4A03G0527800, TraesCS4A03G0914900, TraesCS4B03G0269400, TraesCS4B03G0269500, TraesCS4D03G0230100, TraesCS4D03G0230500, TraesCS5A03G0362000, TraesCS5B03G0349400, TraesCS5D03G0344900, TraesCS7A03G0479000, TraesCS7A03G0820900, TraesCS7A03G1335900, TraesCS7B03G0083600, TraesCS7B03G0293200, TraesCS7B03G0679500, TraesCS7D03G0463700, TraesCS7D03G0489800, TraesCS7D03G0805200",0,3,42,42
"9,9'-di-cis-zeta-carotene desaturase activity",,TraesCS4B03G0844400,"TraesCS2A03G0550000, TraesCS2B03G0617700, TraesCS2D03G0510700",0,1,3,3
90S preribosome,,"TraesCS4A12B34F9900, TraesCS4B03G0844400","TraesCS1A03G0763500, TraesCS2A03G0824700, TraesCS2B03G0912100, TraesCS2D03G0766700",0,2,4,4
ABC-type protein transporter activity,,TraesCS4B03G0844400,"TraesCS2B03G0450100, TraesCS2D03G0352100",0,1,2,2
